Co-autor,Sample Unit,long,lat,Original Spot,Acestrorhynchus lacustris,Ancistrus aguaboensis,Apareiodon affinis,Apareiodon ibitiensis,Apareiodon machrisi,Apareiodon vladii,Aspidoras eurycephalus,Aspidoras fuscoguttatus,Astyanax  altiparanae,Astyanax asuncionensis,Astyanax bimaculatus,Astyanax bockmani,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax lineatus,Astyanax paranae,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis ,Brycon orbignyanus,Bryconamericus turiuba,Bryconammericus stramineus,Cetopsorhamdia iheringi,Characidium fasciatum,Characidium gomesi,Characidium zebra,Characidium zebra,Cichla kelberi,Cichlasoma dimerus,Cichlasoma paranaense,Corydoras aeneus,Corydoras flaveolus,Creagrutus varii,Crenicichla britskii,Crenicichla niederleinii,Cyphocharax gilbert,Cyphocharax modestus,Eigenmannia trilineata,Eigenmannia virescens ,Gymnotus carapo,Gymnotus sylvius,Harttia punctata,Hasemania crenuchoides,Hasemania hanseni ,Hemigrammus marginatus,Heptapterus mustelinus,Hisonotus francirochai,Hisonotus insperatus,Hyphessobrycon coelestinus,Hyphessobrycon herbertaxelrodi ,Hyphessobrycon luetkenii,Hypostomus  plecostumus,Hypostomus  regani,Hypostomus ancistroides,Hypostomus boulengeri,Hypostomus nigromaculatus,Imparfinis borodini,Imparfinis longicauda,Imparfinis minutus,Imparfinis mirini,Imparfinis schubarti,Knodus chapadae,Knodus moenkhausii,Leporinus microphthalmus,Leporinus paranensis,Microglanis garavelloi,Moenkhausia sanctaefilomenae,Neoplecostomus paranensis,Oligosarcus pintoi,Paravandellia oxyptera,Parodon nasus,Phalloceros harpagos,Phenacorhamdia somnians,Phenacorhamdia tenebrosa,Piabina argentea,Pimelodella avanhandavae,Planaltina myersi,Poecilia reticulata,Prochilodus  lineatus,Pyrrhulina australis,Rineloricaria latirostris,Rivulus pictus,Serrapinnus heterodon,Serrapinnus notomelas,Steindachnerina insculpta,Sternopygus macrurus,Synbranchus marmoratus,Tatia neivar,Tilapia rendalli,Trichomycterus aff. brasiliensis,Trichomycterus candidus,MTurb,MCondut,MPh,MOD,MTempAgua,Mvel,Mprof,Mlar
Francisco Leonardo Tejerina Garro,ua22,-48.796111,-17.353611,P22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.933333333,105.5666667,7.5,5.3,20.7,0.075909091,0.063636364,3.132200577
Francisco Leonardo Tejerina Garro,ua23,-48.085556,-17.345000,P23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33333333,27.26666667,6.673333333,5.8,23.63333333,0.189907925,0.115454545,1.3
Francisco Leonardo Tejerina Garro,ua24,-48.046111,-17.271111,P24,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,41,7.263333333,6.2,21.56666667,85.11111111,0.130909091,3.223214458
Francisco Leonardo Tejerina Garro,ua25,-48.928611,-17.245278,P25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18666667,126.9,6.216666667,8,21.4,112,0.483333333,1.066666667
Francisco Leonardo Tejerina Garro,ua26,-49.060000,-17.201111,P26,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,52.36666667,7.216666667,6.2,23.23333333,101.3636364,0.449090909,4.163636364
Francisco Leonardo Tejerina Garro,ua27,-48.996389,-17.138611,P27,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6.366666667,97.4,7.346666667,6.2,23.46666667,152.1969697,0.182727273,3.709090909
Francisco Leonardo Tejerina Garro,ua28,,,P28,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23.3,6.936666667,6.3,24.33333333,386.7272727,0.198181818,3.045454545
Francisco Leonardo Tejerina Garro,ua29,,,P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19.53333333,6.603333333,6,23.3,263.7715983,0.371818182,0.954545455
Francisco Leonardo Tejerina Garro,ua30,,,P30,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.53333333,23.7,7.17,9.4,19.13333333,561.9090909,0.204545455,1.118181818
Francisco Leonardo Tejerina Garro,ua31,,,P31,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,79.23333333,18.4,6.113333333,6.8,19.3,139.75,0.15,1.558333333
Lilian Casatti e Renato Romero,ua37,-56.6156,-21.03,PG6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,374,8.11,8.6,21.2,0.41,,3
Lilian Casatti e Renato Romero,ua38,-52.9758,-18.2969,PN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,19,2,8.51,8.1,21,0.16,,1.1
Lilian Casatti e Renato Romero,ua39,-53.0092,-18.1328,PN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,4,7.80,7.5,21.6,0.22,,1.1
Lilian Casatti e Renato Romero,ua40,-51.885,-19.0867,PN3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,39,54,8.72,8.7,22.1,0.15,,2.7
Lilian Casatti e Renato Romero,ua41,-51.475,-19.1881,PN4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,49,55,8.71,8.8,22.2,0.56,,5.6
Lilian Casatti e Renato Romero,ua42,-51.6692,-19.1633,PN5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,52,68,8.62,8.9,23.5,0.65,,4.5
Lilian Casatti e Renato Romero,ua43,-51.7519,-19.1533,PN6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,92,73,8.59,9,23,0.32,,2.5
Lilian Casatti e Renato Romero,ua44,-52.1486,-19.05,PN7,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,13,8.60,8.9,23.1,0.96,,5.7
Pedro Podesta,ua63,-47.6668,-15.5926,P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2.375,59.35,7.45,7.205,23,6.346666667,0.635,2.81
Pedro Podesta,ua65,-47.9516,-15.6669,P15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,1.95,7.02,8.16,21,4.691666667,0.35,4.47
Pedro Podesta,ua66,-47.9185,-15.7354,P16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.49,25.3,6.56,6.35,22,3.816666667,0.543333333,3.035
Pedro Podesta,ua67,-48.0055,-15.6378,P17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.675,1.1,6.47,8.31,19,6.213333333,0.671666667,1.368333333
Pedro Podesta,ua68,-47.9734,-15.755,P18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.045,6.05,6.52,2.77,18.5,0,0.216666667,1.083333333
Pedro Podesta,ua69,-47.7184,-15.5911,P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,9.225,4.7,6.885,8.365,21.5,6.498333333,0.753333333,2.956666667
Pedro Podesta,ua70,-47.8512,-15.6762,P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,6.65,6.79,5.78,21,24.04,0.308333333,2.893333333
Pedro Podesta,ua71,-47.5054,-15.5814,P21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.45,20,7.675,7.225,19.5,5.791666667,0.616666667,4.658333333
Pedro Podesta,ua72,-47.6643,-15.7408,P22,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.05,39.65,7.66,8.04,21.5,6.313333333,0.331666667,4.261666667
Pedro Podesta,ua73,-47.7021,-15.6992,P23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.135,4.75,7.27,7.005,20.5,7.48,0.458333333,4.228333333
Pedro Podesta,ua74,-47.7169,-15.6215,P24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.335,8.1,7.195,11.55,22,14.16833333,0.523333333,3.073333333
Paulo dos Santos Pompeu,ua81,-46.991435,-19.210991,NP_0016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,7,6.65,7.6,20.6,0.59,27.84,4.29
Paulo dos Santos Pompeu,ua82,-47.048122,-19.1654,NP_0054,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,10,7.06,7.5,20.1,0.69,21.36,5.63
Paulo dos Santos Pompeu,ua83,-47.033451,-19.127083,NP_0075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,13,6.64,5.8,20.2,0.12,21.29,3.46
Paulo dos Santos Pompeu,ua84,-47.036464,-19.206016,NP_0100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.00,8,6.24,8.4,20.4,0.14,20.67,4.11
Paulo dos Santos Pompeu,ua85,-47.149475,-19.230856,NP_7308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,20,7.54,8.7,18.4,0.16,12.27,2.00
Paulo dos Santos Pompeu,ua91,-47.846979,-19.760722,VG_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,20,7.1,6.1,20.3,0.14,12.20,1.12
Paulo dos Santos Pompeu,ua92,-47.741123,-20.170955,VG_0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,63,7.6,6.4,21.6,0.23,6.13,1.74
Paulo dos Santos Pompeu,ua93,-47.792154,-19.753246,VG_0210,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.29,56,8.05,8.2,19.6,0.15,16.80,5.20
Paulo dos Santos Pompeu,ua94,-47.799686,-19.786592,VG_0306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.19,38,7.24,7.8,19.1,0.27,25.15,5.25
Paulo dos Santos Pompeu,ua95,-47.71641,-19.83062,VG_0450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.47,40,6.82,8.6,18.9,0.55,21.04,6.10
