Name,eelgrass_lai,nitraterange,tempmean,temprange,curveloc,nitratemean,salinityrange,salinitymean,dissoxmean,dissoxrange,shoot_density,detritus_biomass,macroalgae_biomass
cabbage1,0.317696,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,64,0,0.41
cabbage2,0.2424896,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,80,3.09,0
cabbage3,0.59960832,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,96,0.78,0.58
cabbage4,0.86534208,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,144,1.71,0.21
cabbage5,0.55632,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,80,0,0.01
cabbage6,0.208352,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539,32,0,0.01
dodger1,0.36478208,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,1040,0.92,0.41
dodger2,0.59785344,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,864,0.59,0.01
dodger3,0.39722496,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,528,0.2,1.03
dodger4,0.234912,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,400,0.19,0.71
dodger5,0.76302336,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,704,1.14,0.76
dodger6,0.0893536,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293,160,0.52,0.66
ducking1,0.3051568,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,272,2.52,3.86
ducking2,0.351072,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,144,5.84,6.24
ducking3,0.441136,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,160,2.91,5.36
ducking4,0.2497824,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,96,3.51,4.89
ducking5,0.7151616,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,96,1.95,2.21
ducking6,0.6690816,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223,144,4.9,6.23
elbow1,0.4763808,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,272,2.7,3.19
elbow2,0.437,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,400,3.6,4
elbow3,0.520128,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,448,1.9,4.19
elbow4,0.1880384,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,176,4.24,6.77
elbow5,0.388704,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,192,2.66,9.191
elbow6,0.5873088,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196,416,3.13,5.97
gallagher1,0.4927104,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,128,0.67,14.67
gallagher2,0.348696,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,80,0,15.37
gallagher3,0.2616,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,96,0.311,13.53
gallagher4,0.0965376,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,16,0.22,10.49
gallagher5,0.4426368,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,96,0.71,20.31
gallagher6,0.27089216,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862,176,0.84,10.52
hl1,0.551376,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,112,0,0
hl2,1.076544,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,128,0.03,0
hl3,0.5063904,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,96,0.12,0
hl4,0.5092928,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,160,0.01,0
hl5,2.2858848,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,240,0.36,0
hl6,1.40670976,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977,256,0,0
indian1,0.010398191,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,304,1.51,2.44
indian2,0.009026458,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,240,0.88,0.01
indian3,0.025774554,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,224,0.92,1.4
indian4,0.10540625,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,256,0.53,1.01
indian5,0.027158482,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,224,0.69,1.06
indian6,0.008059091,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891,352,1.2,1.48
james1,0.0894304,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,16,0.32,5.82
james2,0.7374304,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,112,0.5,24.54
james3,0.938752,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,80,0.49,5.64
james4,0.23724,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,48,0,6.08
james5,0.506736,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,32,0,0
james6,0.7710336,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691,48,0,0
lyall1,0.6952352,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,64,0,0.22
lyall2,0.4818656,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,32,0,0
lyall3,0.4630528,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,16,0,0.04
lyall4,0.441264,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,80,0,0.015
lyall5,0.6232128,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,48,0.1,0
lyall6,1.2112704,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064,48,0.29,1.72
ra1,0.2373696,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,208,0,0.15
ra2,0.78456,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,400,0,1.56
ra3,1.3799424,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,512,0,0.64
ra4,0.744,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,320,0,0.34
ra5,0.7047936,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,672,0,0.36
ra6,0.9794304,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367,624,0,0
robbers1,0.238544,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,80,2.15,0
robbers2,0.7595344,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,80,0.9,0.674
robbers3,0.38992512,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,208,1.49,0.3
robbers4,0.2730304,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,64,1.31,0.26
robbers5,0.27476352,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,144,2.02,0.02
robbers6,0.42118848,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246,144,0.22,0
sarita1,0.2842176,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,48,0.04,0.17
sarita2,0.176816,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,48,0.26,1.01
sarita3,0.2963296,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,112,0.58,0.59
sarita4,0.4600336,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,208,0.25,0.02
sarita5,0.4872416,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,80,0.26,0.06
sarita6,0.148784,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545,32,0.09,0
sidney1,0.8864832,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,96,0,0.01
sidney2,0.3341664,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,80,0,0
sidney3,0.4964096,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,64,0,0
sidney4,0.464192,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,64,1.1,0
sidney5,0.783936,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,96,0,0.01
sidney6,1.1074752,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637,96,0,0
innerchoked1,0.1371328,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,64,NA,0.55
innerchoked2,0.345544,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,80,NA,12.75
innerchoked3,0.2820352,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,48,NA,7.03
innerchoked4,0.3906624,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,96,NA,5.47
innerchoked5,0.3376128,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,80,NA,9.49
innerchoked6,0.30556224,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,96,NA,7.75
sandspit1,0.45045504,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,144,10.8,1.15
sandspit2,0.3935808,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,96,0.21,0.89
sandspit3,0.53865216,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,144,2.82,3.4
sandspit4,0.4405248,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,144,2.5,1.38
sandspit5,0.7773744,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,176,0.3,1.81
sandspit6,0.8146368,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894,144,0,0.52
triquetn1,0.2368576,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,32,0,0
triquetn2,0.160576,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,80,0,0
triquetn3,0.32994752,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,112,0,0
triquetn4,0.063104,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,32,0,0
triquetn5,0.546048,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,96,0,0
triquetn6,0.1519104,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,48,0,0
triquetbay1,0.4637952,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,176,0,0
triquetbay2,0.4995584,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,176,0,0
triquetbay3,0.28992,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,192,0,0
triquetbay4,0.824064,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,192,0,0
triquetbay5,0.637056,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,240,0,0
triquetbay6,0.9334784,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968,256,0,0